ExpID;MeasureDate;LeafID;An;Ci;PPFD;PhiPS2
GC1;01.11.2016;n1-m-a1-l6;14.2728322;324.4822269;1300.397949;0.255412984
GC1;01.11.2016;n1-m-a1-l6;13.38288118;326.8782642;1000.980042;0.329280202
GC1;01.11.2016;n1-m-a1-l6;10.45249545;325.9504548;501.0411987;0.485348501
GC1;01.11.2016;n1-m-a1-l6;3.989226383;367.3741867;200.899826;0.618863372
GC1;01.11.2016;n1-m-a1-l6;1.401356971;385.0590719;124.6878815;0.658958788
GC1;01.11.2016;n1-m-a1-l6;1.386648872;380.0271621;99.02615356;0.677573682
GC1;01.11.2016;n1-m-a1-l6;-0.838607945;399.8868435;80.81417847;0.691802969
GC1;01.11.2016;n1-m-a1-l6;-0.561183282;396.9727007;59.30076218;0.704985389
GC1;01.11.2016;n1-m-a1-l6;-1.255171129;403.2828506;41.07177734;0.715044423
GC1;01.11.2016;n1-m-a1-l6;-2.701279716;413.4025209;28.21094131;0.720114515
GC1;01.11.2016;n1-m-a1-l6;-3.883280672;428.0929607;0.786469102;0.738633501
GC1;01.11.2016;n2-m-a1-l6;16.01704491;334.0735631;1301.166504;0.277792159
GC1;01.11.2016;n2-m-a1-l6;14.30283369;307.7717717;1000.094055;0.339221379
GC1;01.11.2016;n2-m-a1-l6;11.67138668;328.9713291;500.5378723;0.486445101
GC1;01.11.2016;n2-m-a1-l6;4.737255551;362.4774969;200.7588196;0.615550246
GC1;01.11.2016;n2-m-a1-l6;1.170266269;383.8174939;124.4214249;0.659741311
GC1;01.11.2016;n2-m-a1-l6;0.832203433;385.4200381;98.74346161;0.680075866
GC1;01.11.2016;n2-m-a1-l6;-0.444055321;394.0208781;80.80664063;0.695773961
GC1;01.11.2016;n2-m-a1-l6;-1.022671348;399.2240554;59.07471085;0.708926385
GC1;01.11.2016;n2-m-a1-l6;-2.344872685;410.1696241;40.91349411;0.719417287
GC1;01.11.2016;n2-m-a1-l6;-2.678414151;413.2786625;28.08517838;0.726563903
GC1;01.11.2016;n2-m-a1-l6;-4.470525281;429.7622781;0.719726145;0.753855445
GC1;01.11.2016;n3-m-a1-l6;14.45333659;291.9236839;1301.62207;0.286696302
GC1;01.11.2016;n3-m-a1-l6;12.37082671;268.9977188;1000.578674;0.354550984
GC1;01.11.2016;n3-m-a1-l6;10.07858265;282.1101215;500.7894897;0.520414287
GC1;01.11.2016;n3-m-a1-l6;4.541199696;337.7679118;200.9613495;0.662746197
GC1;01.11.2016;n3-m-a1-l6;2.140987054;366.5021208;124.6032333;0.694020978
GC1;01.11.2016;n3-m-a1-l6;0.534146065;383.8432543;98.89192963;0.704940023
GC1;01.11.2016;n3-m-a1-l6;-0.142292732;393.7969662;80.78820801;0.71731706
GC1;01.11.2016;n3-m-a1-l6;-0.589232882;399.0876959;59.21823883;0.726625368
GC1;01.11.2016;n3-m-a1-l6;-1.730262552;416.3963067;40.98830795;0.733515077
GC1;01.11.2016;n3-m-a1-l6;-2.340403846;421.490262;28.18588829;0.737574391
GC1;01.11.2016;n3-m-a1-l6;-3.855864495;441.7663123;0.719477892;0.772893575
GC1;01.11.2016;n3-l-a1-l5;11.84883689;326.4068583;1298.30542;0.176575253
GC1;01.11.2016;n3-l-a1-l5;11.40388896;309.8114497;1001.534485;0.231537281
GC1;01.11.2016;n3-l-a1-l5;10.11607615;319.9487564;501.1462402;0.393891514
GC1;01.11.2016;n3-l-a1-l5;5.306266954;353.6598631;200.874176;0.579094478
GC1;01.11.2016;n3-l-a1-l5;3.844654385;360.0850161;124.6000061;0.634587962
GC1;01.11.2016;n3-l-a1-l5;1.837181102;374.7798736;98.89613342;0.658131322
GC1;01.11.2016;n3-l-a1-l5;1.540947804;378.2142052;80.82609558;0.676028193
GC1;01.11.2016;n3-l-a1-l5;0.077493889;391.2093166;59.08525467;0.691328599
GC1;01.11.2016;n3-l-a1-l5;-0.318302197;395.475716;40.89158249;0.704121474
GC1;01.11.2016;n3-l-a1-l5;-0.169663577;393.5233886;31.32723427;0.70852334
GC1;01.11.2016;n3-l-a1-l5;-1.937907108;411.6243801;0.51571548;0.754290982
GC1;01.11.2016;n2-l-a1-l5;6.542825243;310.3903897;1299.040405;0.114787023
GC1;01.11.2016;n2-l-a1-l5;5.34075554;276.1625148;1001.47113;0.155889473
GC1;01.11.2016;n2-l-a1-l5;4.393846293;294.6430475;500.9641724;0.276751709
GC1;01.11.2016;n2-l-a1-l5;2.73763338;337.7989701;200.7024994;0.542787848
GC1;01.11.2016;n2-l-a1-l5;2.433006969;340.8213932;124.4775467;0.630111423
GC1;01.11.2016;n2-l-a1-l5;1.341524594;360.1245786;98.75;0.659330039
GC1;01.11.2016;n2-l-a1-l5;0.047307712;389.426597;80.63748169;0.679040313
GC1;01.11.2016;n2-l-a1-l5;0.919213736;365.2929053;58.97301865;0.683913257
GC1;01.11.2016;n2-l-a1-l5;-0.519180708;402.8708713;40.75307846;0.696303139
GC1;01.11.2016;n2-l-a1-l5;0.157746005;385.4908241;31.24256897;0.705396706
GC1;01.11.2016;n2-l-a1-l5;-2.525453864;451.74021;0.533572972;0.749501799
GC1;01.11.2016;n1-l-a1-l5;7.703635693;311.7372566;1298.014893;0.146476768
