ExpID;LeafID;VarietyID;LightID;NitrogenID;AppearanceDate;HarvestDate;LightLevel_mol_m2_d;NitrogenLevel_Mm;MeanTemp_oC;SPAD;LeafArea_cm2;DryMass_g;TotalN_mg_g;Chl_a_mg_g;Chl_b_mg_g
GC1;n1-h-a2-l6;A;3;1;28.10.2016;15.11.2016;24.4;2.5;22.4;26.35643473;847.7997351;4.461358268;35.03341078;5.345658614;1.811623612
GC1;n3-l-a3-l6;A;1;3;30.10.2016;25.11.2016;4.2;10;21.4;44.08399334;1002.035723;2.692118788;54.88581636;14.75936874;5.284497106
GC1;n1-l-a2-l8;A;1;1;02.11.2016;15.11.2016;4.3;2.5;21.4;47.47785727;575.6139467;0.807085451;53.69621923;17.26184677;5.703346344
GC1;n1-l-a3-l8;A;1;1;02.11.2016;25.11.2016;5;2.5;21.4;44.87690846;745.9384357;2.187742585;46.57619888;12.56054303;4.54072217
GC1;n2-l-a3-l5;A;1;2;28.10.2016;25.11.2016;4;5;21.4;46.80028022;886.1652466;2.633076049;46.43876247;13.75750027;4.725386201
GC1;n1-m-a3-l8;A;2;1;31.10.2016;22.11.2016;12;2.5;22.3;35.89044428;1089.869303;7.029553726;27.80136713;8.295556296;2.996713921
GC1;n1-m-a2-l4;A;2;1;25.10.2016;18.11.2016;14.3;2.5;22.3;30.08912526;829.964955;4.935867221;26.47750306;6.710084018;2.290386797
GC1;n3-l-a3-l7;A;1;3;31.10.2016;22.11.2016;4.2;10;21.4;52.14090758;1124.031745;2.771558674;50.91604392;17.29961738;6.213342328
GC1;n2-l-a2-l9;A;1;2;03.11.2016;15.11.2016;4.9;5;21.4;44.88228405;649.0751961;1.769470979;55.59548594;15.23157026;4.664681105
GC1;n1-m-a3-l7;A;2;1;30.10.2016;25.11.2016;12;2.5;22.3;31.49928861;963.1508365;4.474768844;29.67413978;7.554021623;2.810468861
GC1;n3-l-a2-l6;A;1;3;31.10.2016;11.11.2016;4.3;10;21.4;44.28687609;776.7778595;1.769315861;66.622147;16.95901403;5.343194105
GC1;n2-h-a3-l6;A;3;2;27.10.2016;29.11.2016;27.7;5;22.4;28.91441577;937.9372212;9.470536844;31.63742549;4.638944724;1.590199444
GC1;n1-h-a2-l5;A;3;1;27.10.2016;18.11.2016;24.4;2.5;22.4;28.10380372;1046.339775;7.935777698;22.23015027;5.216668411;1.865387559
GC1;n1-l-a2-l10;A;1;1;05.11.2016;18.11.2016;4.3;2.5;21.4;45.42765275;399.7528733;0.84134086;54.31739105;15.30162048;5.37250926
GC1;n3-l-a1-l4;A;1;3;26.10.2016;04.11.2016;4.3;10;21.4;39.87177484;629.3851587;1.308288664;65.67696518;15.20369701;5.24960141
GC1;n2-m-a3-l6;A;2;2;30.10.2016;25.11.2016;14;5;22.3;35.4895631;1007.069482;4.924333776;40.84553626;9.116307268;3.142337892
GC1;n3-l-a2-l5;A;1;3;29.10.2016;15.11.2016;4.3;10;21.4;48.13849807;923.5299102;1.616274907;56.11443365;17.8224403;6.02976278
GC1;n3-l-a4-l6;A;1;3;30.10.2016;09.12.2016;3.8;10;21.4;26.54947201;1135.55767;3.849837256;36.74982157;7.114714862;2.30812316
GC1;n1-m-a3-l6;A;2;1;29.10.2016;29.11.2016;12;2.5;22.3;28.58398364;1027.997763;5.337244486;24.17287244;6.544319586;2.211537723
GC1;n2-m-a4-l8;A;2;2;31.10.2016;09.12.2016;13.1;5;22.3;28.40569181;1170.421074;7.787592637;27.52570428;6.079932495;2.042878426
GC1;n2-l-a2-l8;A;1;2;02.11.2016;11.11.2016;4.9;5;21.4;38.70924738;362.8555882;0.675334235;63.72234904;15.02569733;4.938283139
GC1;n2-l-a3-l4;A;1;2;26.10.2016;29.11.2016;4;5;21.4;31.05246952;530.4179431;1.479694508;41.51075303;9.257194814;3.155000501
GC1;n1-l-a2-l9;A;1;1;03.11.2016;11.11.2016;4.3;2.5;21.4;34.73668333;284.5837837;0.578965932;57.54309279;12.23538513;4.54688915
GC1;n3-l-a1-l3;A;1;3;23.10.2016;08.11.2016;4.3;10;21.4;42.27270527;785.3405589;1.793565139;58.56245351;16.97096251;5.621844412
GC1;n1-m-a2-l7;A;2;1;30.10.2016;15.11.2016;14.3;2.5;22.3;33.07535761;1036.78226;4.635798038;58.2939697;7.720848703;2.636816995
GC1;n3-h-a2-l7;A;3;3;29.10.2016;11.11.2016;26.6;10;22.4;38.87612438;1111.832043;7.32226626;48.40656395;8.997729632;3.163707458
GC1;n3-l-a3-l5;A;1;3;28.10.2016;29.11.2016;4.2;10;21.4;34.16734266;1098.496867;2.506183469;46.60490358;11.29924395;4.591267708
GC1;n1-l-a3-l7;A;1;1;31.10.2016;29.11.2016;5;2.5;21.4;40.0761034;885.5744726;2.443243072;41.4083328;11.24480775;3.864641512
GC1;n3-l-a4-l10;A;1;3;03.11.2016;02.12.2016;3.8;10;21.4;43.63215346;972.9196998;2.39871412;47.75769986;12.80989201;5.024713737
GC1;n2-l-a2-l6;A;1;2;30.10.2016;18.11.2016;4.9;5;21.4;43.40193239;439.3392433;0.716827441;48.35527717;13.51017648;4.936621634
GC1;n1-l-a1-l4;A;1;1;27.10.2016;04.11.2016;4.5;2.5;21.4;25.9553223;363.6561167;0.937980399;53.83154609;9.396466276;3.117135436
GC1;n1-h-a2-l7;A;3;1;29.10.2016;11.11.2016;24.4;2.5;22.4;27.46483293;825.2627395;4.553892042;34.70081751;5.349313746;1.583513076
GC1;n1-h-a3-l10;A;3;1;01.11.2016;22.11.2016;28.6;2.5;22.4;28.36216804;955.2869011;9.678307258;24.47806265;5.036083674;1.957750014
GC1;n1-l-a3-l9;A;1;1;03.11.2016;22.11.2016;5;2.5;21.4;41.02089197;619.9507183;1.596027211;47.10899452;14.5155838;4.979884655
GC1;n1-m-a2-l6;A;2;1;29.10.2016;11.11.2016;14.3;2.5;22.3;36.89702094;868.0607294;3.579593358;39.77014606;9.492451418;2.990899095
GC1;n2-l-a4-l7;A;1;2;31.10.2016;09.12.2016;4;5;21.4;52.85167443;1349.077005;5.14167823;43.76060571;14.99378095;4.881501483
GC1;n2-m-a3-l8;A;2;2;31.10.2016;22.11.2016;14;5;22.3;38.78445594;760.4253709;4.475714533;27.35454161;8.950021961;3.185843881
GC1;n3-h-a4-l8;A;3;3;31.10.2016;09.12.2016;25.1;10;22.4;23.28787201;905.8425267;10.10083623;40.49483187;3.962449052;1.15720964
GC1;n1-l-a1-l7;A;1;1;02.11.2016;08.11.2016;4.5;2.5;21.4;31.17918932;176.0646128;0.370916856;55.15723025;10.42379821;3.503317859
GC1;n3-m-a3-l8;A;2;3;31.10.2016;25.11.2016;11.4;10;22.3;42.95415071;1370.376711;7.941463782;49.66850538;10.29527184;3.699998141
GC1;n2-m-a2-l6;A;2;2;28.10.2016;15.11.2016;14.9;5;22.3;37.99246199;982.4301202;4.310435811;50.05535562;10.61167761;3.586731283
GC1;n2-l-a1-l4;A;1;2;25.10.2016;04.11.2016;5.1;5;21.4;24.03456389;277.5801641;0.614692882;51.65858894;7.305579128;2.361448409
GC1;n1-l-a4-l9;A;1;1;03.11.2016;02.12.2016;4.3;2.5;21.4;52.72157512;1003.553834;2.383548564;48.29253332;16.74463806;5.84958199
GC1;n2-l-a4-l9;A;1;2;03.11.2016;02.12.2016;4;5;21.4;53.22174752;1260.847231;4.182971463;51.35206604;14.71568513;5.157019521
GC1;n2-l-a4-l8;A;1;2;02.11.2016;06.12.2016;4;5;21.4;55.65492344;1276.6701;4.808379817;49.75854338;14.35778205;4.493056448
GC1;n2-h-a2-l5;A;3;2;27.10.2016;15.11.2016;21.5;5;22.4;34.62333805;1179.561665;8.708862041;41.66153766;7.535414119;2.269147999
GC1;n1-l-a4-l7;A;1;1;31.10.2016;09.12.2016;4.3;2.5;21.4;45.77610874;1002.319159;3.757686653;40.20451477;13.16577735;4.266950366
GC1;n3-l-a2-l4;A;1;3;27.10.2016;18.11.2016;4.3;10;21.4;48.73090973;928.0948557;1.988553879;48.62290434;16.04092685;5.845467095
GC1;n3-h-a3-l5;A;3;3;27.10.2016;29.11.2016;26;10;22.4;20.62957594;1004.66657;9.640680852;40.46421861;2.646157448;0.988487787
GC1;n2-m-a2-l5;A;2;2;26.10.2016;18.11.2016;14.9;5;22.3;31.75833521;1225.717357;7.567360918;34.37406294;7.309956966;2.45945234
GC1;n3-m-a2-l6;A;2;3;28.10.2016;15.11.2016;14.6;10;22.3;28.9810063;1141.80984;5.823329434;54.5088618;9.158717496;2.920253292
GC1;n2-l-a1-l7;A;1;2;31.10.2016;08.11.2016;5.1;5;21.4;33.90631606;416.0132812;0.593955594;58.77489392;12.03451076;3.814474474
GC1;n2-l-a3-l6;A;1;2;30.10.2016;22.11.2016;4;5;21.4;50.87315588;790.8754539;2.841107114;50.09363534;14.58783905;4.976546859
GC1;n1-l-a4-l8;A;1;1;01.11.2016;06.12.2016;4.3;2.5;21.4;54.97519104;1021.100913;3.212370344;45.4779812;16.2437957;5.092739173
GC1;n1-m-a4-l7;A;2;1;30.10.2016;09.12.2016;13.4;2.5;22.3;23.42353199;1235.642641;8.743713335;29.11991316;4.344757094;1.581761565
