ExpID;MeasureDate;PlantID;VarietyID;LightID;NitrogenID;LeafNo;EA_degree;LA_cm2
GH1;10.05.2017;317;A;H;L;1;20.18428693;235.9115996
GH1;10.05.2017;317;A;H;L;2;-12.67305092;529.9950883
GH1;10.05.2017;317;A;H;L;3;-32.93088415;609.9742199
GH1;10.05.2017;317;A;H;L;4;-75.81703892;811.1572408
GH1;10.05.2017;317;A;H;L;5;-36.47510283;866.6522578
GH1;10.05.2017;317;A;H;L;6;-43.78691516;825.6620653
GH1;10.05.2017;317;A;H;L;7;-38.71146598;873.7182132
GH1;10.05.2017;317;A;H;L;8;-54.59248492;940.7089836
GH1;10.05.2017;317;A;H;L;9;-61.55402798;895.5816179
GH1;10.05.2017;317;A;H;L;10;-44.03327729;887.0440257
GH1;10.05.2017;317;A;H;L;11;-52.31042695;901.8937804
GH1;10.05.2017;317;A;H;L;12;-56.35376805;731.8421679
GH1;10.05.2017;317;A;H;L;13;-54.7915525;726.5819939
GH1;10.05.2017;317;A;H;L;14;-48.11412599;745.9483621
GH1;10.05.2017;317;A;H;L;15;-47.04722374;695.5691745
GH1;10.05.2017;317;A;H;L;16;-46.0843312;695.2189062
GH1;10.05.2017;317;A;H;L;17;-37.62999062;560.8034174
GH1;10.05.2017;317;A;H;L;18;-21.59710329;509.6370403
GH1;10.05.2017;317;A;H;L;19;-9.216012071;517.0977557
GH1;10.05.2017;317;A;H;L;20;-33.55599723;347.9498973
GH1;10.05.2017;317;A;H;L;21;-30.61135411;332.1407781
GH1;10.05.2017;317;A;H;L;22;-28.33924865;157.9296284
GH1;10.05.2017;317;A;H;L;23;-42.63549302;285.7137123
GH1;10.05.2017;317;A;H;L;24;-3.193038424;112.5711072
GH1;10.05.2017;317;A;H;L;25;54.91222694;41.97164507
GH1;10.05.2017;318;A;H;L;1;19.65945086;288.0226181
GH1;10.05.2017;318;A;H;L;2;-68.65520404;565.981044
GH1;10.05.2017;318;A;H;L;3;-11.89603015;676.8890569
GH1;10.05.2017;318;A;H;L;4;-66.96958928;796.6403917
GH1;10.05.2017;318;A;H;L;5;-62.73786643;1015.016361
GH1;10.05.2017;318;A;H;L;6;-45.26342325;988.0344565
GH1;10.05.2017;318;A;H;L;7;-41.32394843;1021.256076
GH1;10.05.2017;318;A;H;L;8;-50.06543234;1030.052996
GH1;10.05.2017;318;A;H;L;9;-55.0457235;851.440177
GH1;10.05.2017;318;A;H;L;10;-52.60856174;944.941116
GH1;10.05.2017;318;A;H;L;11;-41.17226318;838.4349951
GH1;10.05.2017;318;A;H;L;12;-52.66484423;777.1552363
GH1;10.05.2017;318;A;H;L;13;-47.92453358;726.0994557
GH1;10.05.2017;318;A;H;L;14;-27.60382491;773.631051
GH1;10.05.2017;318;A;H;L;15;-34.75760289;738.0432449
GH1;10.05.2017;318;A;H;L;16;-34.6934202;627.7511523
GH1;10.05.2017;318;A;H;L;17;-27.99878848;624.5950428
GH1;10.05.2017;318;A;H;L;18;-14.47941097;467.3097581
GH1;10.05.2017;318;A;H;L;19;-16.86986014;469.7709624
GH1;10.05.2017;318;A;H;L;20;-33.30689026;352.2359072
GH1;10.05.2017;318;A;H;L;21;-29.0860153;380.0808924
GH1;10.05.2017;318;A;H;L;22;-39.89734278;173.8755491
GH1;10.05.2017;318;A;H;L;23;-35.48877563;134.6739629
GH1;10.05.2017;318;A;H;L;24;-1.825047796;115.0078538
GH1;10.05.2017;318;A;H;L;25;48.51828056;41.7171031
GH1;10.05.2017;215;A;L;L;1;-75.55689241;239.2523482
GH1;10.05.2017;215;A;L;L;2;-66.69896394;482.8953258
GH1;10.05.2017;215;A;L;L;3;-40.9521837;624.5497246
GH1;10.05.2017;215;A;L;L;4;-79.10369904;775.7876122
GH1;10.05.2017;215;A;L;L;5;-41.33976605;912.2249576
GH1;10.05.2017;215;A;L;L;6;-67.60027831;845.427042
GH1;10.05.2017;215;A;L;L;7;-53.95101227;946.5607551
GH1;10.05.2017;215;A;L;L;8;-67.30707848;905.7636099
GH1;10.05.2017;215;A;L;L;9;-59.22227883;966.1087724
GH1;10.05.2017;215;A;L;L;10;-51.82156871;996.5190514
GH1;10.05.2017;215;A;L;L;11;-58.51930272;910.5530162
GH1;10.05.2017;215;A;L;L;12;-66.35262604;975.7387067
GH1;10.05.2017;215;A;L;L;13;-72.07609611;989.9647509
GH1;10.05.2017;215;A;L;L;14;-58.80494309;935.3069214
GH1;10.05.2017;215;A;L;L;15;-59.46352;780.9760821
GH1;10.05.2017;215;A;L;L;16;-75.87637825;868.9680022
GH1;10.05.2017;215;A;L;L;17;-62.140704;719.3567125
GH1;10.05.2017;215;A;L;L;18;-68.57978149;645.3235022
GH1;10.05.2017;215;A;L;L;19;-54.78212555;604.8324721
GH1;10.05.2017;215;A;L;L;20;-48.83264149;581.5209957
GH1;10.05.2017;215;A;L;L;21;-63.02808539;505.2278153
GH1;10.05.2017;215;A;L;L;22;-30.89591753;586.3550033
GH1;10.05.2017;215;A;L;L;23;-60.35327751;430.4862983
GH1;10.05.2017;315;A;L;H;1;-29.10410003;122.8116125
GH1;10.05.2017;315;A;L;H;2;12.67944027;620.1046925
GH1;10.05.2017;315;A;L;H;3;-18.66604891;530.9343611
GH1;10.05.2017;315;A;L;H;4;-66.02780907;706.2050412
GH1;10.05.2017;315;A;L;H;5;-60.34087002;824.5959967
GH1;10.05.2017;315;A;L;H;6;-58.12849247;774.0058412
GH1;10.05.2017;315;A;L;H;7;-65.18157;755.0673602
GH1;10.05.2017;315;A;L;H;8;-67.42717346;902.8245397
GH1;10.05.2017;315;A;L;H;9;-76.8438104;1129.176685
GH1;10.05.2017;315;A;L;H;10;-65.31013922;965.6315518
GH1;10.05.2017;315;A;L;H;11;-66.45619748;991.0020572
GH1;10.05.2017;315;A;L;H;12;-74.75776177;1008.365268
GH1;10.05.2017;315;A;L;H;13;-84.19993456;788.4504414
GH1;10.05.2017;315;A;L;H;14;-65.9346546;767.4388243
GH1;10.05.2017;315;A;L;H;15;-77.8678374;600.5578324
GH1;10.05.2017;315;A;L;H;16;-70.19198622;676.4228067
GH1;10.05.2017;315;A;L;H;17;-85.97336264;527.0809643
GH1;10.05.2017;315;A;L;H;18;-55.7422839;565.9938746
GH1;10.05.2017;315;A;L;H;19;-75.04127924;508.0835627
GH1;10.05.2017;315;A;L;H;20;-63.38180031;547.9668473
GH1;10.05.2017;315;A;L;H;21;-67.36630179;524.1117479
GH1;10.05.2017;315;A;L;H;22;-68.33782244;576.7039776
GH1;10.05.2017;315;A;L;H;23;-68.75268898;1205.750627
GH1;10.05.2017;321;A;H;L;1;8.613520807;197.5094854
GH1;10.05.2017;321;A;H;L;2;11.24159322;506.6398168
GH1;10.05.2017;321;A;H;L;3;-77.30525093;608.051769
GH1;10.05.2017;321;A;H;L;4;-23.55832778;820.1934353
GH1;10.05.2017;321;A;H;L;5;-64.97360223;916.3755372
GH1;10.05.2017;321;A;H;L;6;-36.91093384;843.3754763
GH1;10.05.2017;321;A;H;L;7;-44.17301735;910.7572131
GH1;10.05.2017;321;A;H;L;8;-43.39792235;848.1548022
GH1;10.05.2017;321;A;H;L;9;-63.25009431;769.6298511
GH1;10.05.2017;321;A;H;L;10;-43.10306252;773.2460862
GH1;10.05.2017;321;A;H;L;11;-55.89677721;676.9291939
GH1;10.05.2017;321;A;H;L;12;-69.18490552;831.2794305
GH1;10.05.2017;321;A;H;L;13;-45.46904728;648.8198375
